# date	time	lat	lon	hdop
14:25:05	2018-12-19	51.05553	3.7363567	9.4
14:25:07	2018-12-19	51.05552	3.73623	9
14:25:09	2018-12-19	51.0555233	3.7361283	8.4
14:25:11	2018-12-19	51.05555	3.73597	10
14:25:13	2018-12-19	51.0555733	3.7358483	9.1
14:25:15	2018-12-19	51.055635	3.73581	9
14:25:16	2018-12-19	51.0556683	3.7357983	9.2
14:25:17	2018-12-19	51.055695	3.73578	8.8
14:25:19	2018-12-19	51.0557633	3.7357533	9.6
14:25:20	2018-12-19	51.0558117	3.7357417	10.8
14:25:21	2018-12-19	51.0558283	3.7356967	10.6
14:25:23	2018-12-19	51.0558617	3.7356033	10.8
14:25:25	2018-12-19	51.055945	3.73556	11.1
14:25:27	2018-12-19	51.0559817	3.735575	8.9
14:25:29	2018-12-19	51.0560217	3.7355533	8.1
14:25:31	2018-12-19	51.0560733	3.7355383	7.8
14:25:33	2018-12-19	51.0561067	3.7355517	6.9
14:25:35	2018-12-19	51.0561417	3.7355567	6.2
14:25:37	2018-12-19	51.0561733	3.73556	5.9
14:25:39	2018-12-19	51.0562067	3.735555	5.3
14:25:41	2018-12-19	51.05623	3.73555	4.1
14:25:42	2018-12-19	51.0562333	3.7355517	4
14:25:44	2018-12-19	51.0562333	3.7355517	8.6
14:25:46	2018-12-19	51.05629	3.735565	6.8
14:25:47	2018-12-19	51.0563083	3.73557	6.9
14:25:48	2018-12-19	51.056335	3.7355733	7.5
14:25:50	2018-12-19	51.05639	3.7355733	8.5
14:25:52	2018-12-19	51.0564633	3.73556	9.2
14:25:54	2018-12-19	51.05652	3.7355317	8.1
14:25:56	2018-12-19	51.056575	3.7354867	7.8
14:25:58	2018-12-19	51.05663	3.7354567	7.8
14:26:00	2018-12-19	51.056665	3.7354333	6.9
14:26:02	2018-12-19	51.0566833	3.7354333	4.8
14:26:03	2018-12-19	51.05669	3.7354317	4.6
14:26:05	2018-12-19	51.0566917	3.7354333	19.8
14:26:06	2018-12-19	51.0566917	3.7354333	5.9
14:26:07	2018-12-19	51.0566917	3.7354333	6.5
14:26:09	2018-12-19	51.0566917	3.7354333	5.9
14:26:11	2018-12-19	51.0566917	3.7354333	4.7
14:26:12	2018-12-19	51.0566917	3.7354333	6.3
14:26:14	2018-12-19	51.0566917	3.7354333	8.4
14:26:16	2018-12-19	51.0566917	3.7354333	15.4
14:26:17	2018-12-19	51.0566917	3.7354333	18.5
14:26:19	2018-12-19	51.0566917	3.7354333	19.9
14:26:21	2018-12-19	51.0566917	3.7354333	19.8
14:26:23	2018-12-19	51.0566917	3.7354333	19.3
14:26:25	2018-12-19	51.0566917	3.7354333	18.6
14:26:26	2018-12-19	51.0566917	3.7354333	19
14:26:28	2018-12-19	51.0566917	3.7354333	16.5
14:26:29	2018-12-19	51.0566917	3.7354333	15.5
14:26:31	2018-12-19	51.0566917	3.7354333	14
14:26:32	2018-12-19	51.05668	3.7354017	7.4
14:26:34	2018-12-19	51.056685	3.735415	5.8
14:26:35	2018-12-19	51.0566817	3.73542	6.1
14:26:36	2018-12-19	51.05668	3.735425	6
14:26:38	2018-12-19	51.05668	3.735425	7
14:26:39	2018-12-19	51.05668	3.735425	5.2
14:26:41	2018-12-19	51.05668	3.735425	7.2
14:26:42	2018-12-19	51.05668	3.735425	9.1
14:26:43	2018-12-19	51.05668	3.735425	11.1
14:26:45	2018-12-19	51.05668	3.735425	11.2
14:26:47	2018-12-19	51.05668	3.735425	14.1
14:26:48	2018-12-19	51.05668	3.735425	15
14:26:50	2018-12-19	51.05668	3.735425	19.8
14:26:52	2018-12-19	51.05668	3.735425	15.8
14:26:53	2018-12-19	51.05668	3.735425	15.7
14:26:55	2018-12-19	51.05668	3.735425	16.3
14:26:57	2018-12-19	51.05668	3.735425	18.8
14:26:58	2018-12-19	51.05668	3.735425	19.6
14:26:59	2018-12-19	51.05668	3.735425	20.7
14:27:00	2018-12-19	51.05668	3.735425	23.4
14:27:02	2018-12-19	51.05668	3.735425	22
14:27:03	2018-12-19	51.05668	3.735425	22.8
14:27:06	2018-12-19	51.05668	3.735425	23
14:27:08	2018-12-19	51.0566083	3.735475	3
14:27:12	2018-12-19	51.0566617	3.7355767	7
14:27:15	2018-12-19	51.0566983	3.7357317	8.9
14:27:16	2018-12-19	51.056715	3.73586	10.1
14:27:18	2018-12-19	51.056725	3.735995	10.2
14:27:20	2018-12-19	51.0567283	3.7360633	10.4
14:27:22	2018-12-19	51.0567217	3.736295	11.1
14:27:24	2018-12-19	51.0567317	3.7364317	10.7
14:27:26	2018-12-19	51.05674	3.736495	10.4
14:27:28	2018-12-19	51.0567717	3.73661	10.1
14:27:29	2018-12-19	51.056815	3.73666	9.7
14:27:32	2018-12-19	51.0568333	3.73684	9.7
14:27:34	2018-12-19	51.05683	3.736965	10
14:27:36	2018-12-19	51.056835	3.7370867	10.1
14:27:37	2018-12-19	51.0568633	3.7371817	8.6
14:27:39	2018-12-19	51.0568683	3.7372333	8.6
14:27:43	2018-12-19	51.056975	3.7373167	6.9
14:27:45	2018-12-19	51.05703	3.7372917	8.1
14:27:46	2018-12-19	51.0570567	3.737285	7.6
14:27:47	2018-12-19	51.0570717	3.7372717	6.7
14:27:49	2018-12-19	51.0570933	3.737255	4.5
14:27:50	2018-12-19	51.0571	3.7372533	4.3
14:27:52	2018-12-19	51.0571067	3.7372533	25.3
14:27:54	2018-12-19	51.0571067	3.7372533	9.8
14:27:56	2018-12-19	51.0571067	3.7372533	8.1
14:27:57	2018-12-19	51.0571067	3.7372533	8.4
14:27:59	2018-12-19	51.0571067	3.7372533	10.5
14:28:01	2018-12-19	51.0571067	3.7372533	12.1
14:28:03	2018-12-19	51.0571067	3.7372533	13
14:28:05	2018-12-19	51.0571067	3.7372533	16.6
14:28:07	2018-12-19	51.0571067	3.7372533	18.3
14:28:08	2018-12-19	51.0571067	3.7372533	20.7
14:28:10	2018-12-19	51.0571067	3.7372533	21.7
14:28:12	2018-12-19	51.0571067	3.7372533	21.6
14:28:14	2018-12-19	51.0571067	3.7372533	21.3
14:28:16	2018-12-19	51.0571067	3.7372533	20.5
